locator	primary	term_under_review	relations	text	ai_preliminary_reason	ai_review_focus	user_decision_Y_or_N
stage2_(14)state_transition_high_density_train_v62.source.jsonl:119	항만 차량통행 — 반출로 상승	차량통행	process|state|boundary|comparison	항만 차량통행 — 반출로 상승은 정체량 증가로 게이트 진입을 줄이고 반출로가 확보되면 제한을 푸는 전이다. 정체 규모와 확보 시점을 기록하며 진입 차례와 우회 구역을 재배치한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 차량 통행량·차량 이동 등 더 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v62.source.jsonl:120	항만 차량통행 — 반입 촉발·억제	차량통행	process|state|boundary|attribute	항만 차량통행 — 반입 촉발·억제는 정체 감소가 정상 통행을 촉발하고 신규 반입이 통행을 억제하는 상태 변화이며, 감소량과 반입 시각을 유지하고 게이트 순서와 대기 구역을 조정한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 차량 통행량·차량 이동 등 더 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v63.source.jsonl:123	축사 폐사복귀 — 추 복귀	추 복귀	process|state|boundary|attribute	축사 폐사복귀 — 추 복귀는 원인 확인과 소독검사 합격 뒤 사육을 재개하되 추가 폐사가 생기면 중단하는 상태 변화다. 확인 시점과 폐사 수를 남기고 입식 차례 및 감시 담당을 정한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v64.source.jsonl:142	터널 장기복귀 — 에서 복귀	에서 복귀	process|state|boundary|role	터널 장기복귀 — 에서 복귀에서는 노후 설비 교체와 종합시험 합격을 근거로 평상 통행 전환을 승인한다. 재열화 징후가 나타날 때 적용할 차로 제한과 장기 감시 책임도 함께 명시한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v65.source.jsonl:111	공항 제설차속도이탈 — 추 조정	추 조정	process|state|boundary|comparison	공항 제설차속도이탈 — 추 조정에서는 속도 저하가 생기면 추가 차량 투입을 검토한다. 장비 고장과 속도를 함께 확인해 작업 구역·차량 순서를 변경한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v65.source.jsonl:42	공항 제설기록 — 미루 상태	미루 상태	process|state|boundary|attribute	공항 제설기록 — 미루 상태는 보완 자료를 넣어 이력을 복구하려 하지만 기존 값과 충돌하면 승인을 미루는 전이다. 입력 시점과 상충 항목을 기록하고 검증 차례 및 승인 책임을 배치한다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:1	반도체 웨이퍼세정 — 않 판정	않 판정	process|state|attribute|comparison	반도체 웨이퍼세정 — 않 판정은 세정액 농도의 첫 측정만 들어와 로트 투입 여부를 아직 결정하지 않은 상태다. 공급 탱크와 노즐에서 각각 채취한 표본이 일치해야 세정 조건을 확정한다.	NEGATION_FRAGMENT	부정 어미가 아니라 판정·상태의 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:12	반도체 현상액관리 — 또 안정	또 안정	process|state|boundary|function	반도체 현상액관리 — 또 안정은 현상액 온도 변화 때문에 가열 또는 냉각 운전의 전환을 판단하는 단계다. 가용 열원과 경보 발생점을 확인해 전환 범위와 승인 시각을 정한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:120	반도체 수율계산 — 바로잡 계산	바로잡 계산	process|state|boundary|contrast	반도체 수율계산 — 바로잡 계산의 수율을 바로잡은 후 반도체 수율계산 점검을 계속한다. 남은 경보는 후속 조치를 보류하게 한다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:146	반도체 폐액처리 — 추 대기	추 대기	process|state|attribute|comparison	반도체 폐액처리 — 추 대기는 폐액 수위 판정에 필요한 추가 읽기를 기다리는 상태다. 보류 사유와 탱크 식별자를 남기고 다음 검사 위치 및 펌프 확인 순서를 조정한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:27	반도체 박막증착 — 처리에서 상태	처리에서 상태	process|state|boundary|function	반도체 박막증착 — 처리에서 상태의 처리에서는 증착막 두께의 급격한 변화를 전환 신호로 읽는다. 반도체 박막증착의 여분 설비가 준비됐는지 확인해 다음 단계로 넘긴다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:35	반도체 금속배선 — 에서 판정	에서 판정	process|state|boundary|contrast	반도체 금속배선 — 에서 판정에서는 저항 보정 뒤 확보한 최종 검사값으로 배선 건전성을 판정한다. 비정상 신호가 남은 웨이퍼는 다음 금속층 투입을 막고 결함 분석 대기열에 배치한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:36	반도체 이온주입 — 처리에서 상태	처리에서 상태	process|state|attribute|comparison	반도체 이온주입 — 처리에서 상태의 처리에서는 이온 주입량 검증을 다음 관찰 주기로 넘긴다. 반도체 이온주입의 원시 자료와 수집 시각을 보존해 비교 가능하게 한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:47	반도체 세정수순환 — 또 상태	또 상태	process|state|boundary|function	반도체 세정수순환 — 또 상태는 순환수 유량 이상으로 펌프 전환 또는 공정 제한을 검토하는 상태다. 예비 펌프와 저장수의 준비 시간을 확인해 조치 순서와 시작점을 결정한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:48	반도체 세정수순환 — 처리에서 상태	처리에서 상태	process|state|comparison|attribute	반도체 세정수순환 — 처리에서 상태의 처리에서는 세정수 유량의 현재값과 반도체 세정수순환 참조값을 나란히 둔다. 차이가 남은 항목은 원인별로 분류한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:56	반도체 클린룸차압 — 처리에서 판정	처리에서 판정	process|state|attribute|comparison	반도체 클린룸차압 — 처리에서 판정의 처리에서는 클린룸 차압 판정을 유예하고 반도체 클린룸차압 자료를 정렬한다. 서로 다른 시각의 값은 같은 기준으로 맞춘 뒤 살핀다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:6	반도체 포토레지스트도포 — 처리에서 판정	처리에서 판정	process|state|attribute|comparison	반도체 포토레지스트도포 — 처리에서 판정의 처리에서는 레지스트 점도를 첫 수치만으로 확정하지 않는다. 반도체 포토레지스트도포 이력을 분리 보관한 뒤 비교 기준이 갖춰지면 다시 판단한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:67	반도체 미세입자계수 — 또 상태	또 상태	process|state|boundary|function	반도체 미세입자계수 — 또 상태는 입자 수 이상을 확인해 청정구역 격리 또는 대체 측정을 검토하는 단계다. 가용 계수기와 공조 여력을 따져 조치 범위와 시작 시점을 정한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:68	반도체 미세입자계수 — 처리에서 상태	처리에서 상태	process|state|comparison|attribute	반도체 미세입자계수 — 처리에서 상태의 처리에서는 입자 수를 반도체 미세입자계수의 기준값과 비교해 상태를 가른다. 불일치 자료는 독립 확인을 거친다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:70	반도체 미세입자계수 — 처리에서 포화	처리에서 포화	process|state|boundary|contrast	반도체 미세입자계수 — 처리에서 포화의 처리에서는 입자 수 보정 결과로 반도체 미세입자계수 점검을 재개한다. 이력의 불일치가 남으면 현재 상태를 고정한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v66.source.jsonl:72	반도체 표면오염검사 — 또 재처리	또 재처리	process|state|boundary|function	반도체 표면오염검사 — 또 재처리는 오염도 변화에 따라 재세정 또는 로트 격리를 결정하는 단계다. 가용 세정경로와 처리량을 따져 다음 조치와 품질 책임자를 명시한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:110	도시열공급 열요금정산 — 가 판정	가 판정	process|state|boundary|contrast	도시열공급 열요금정산 — 가 판정은 누락 검침값 보완을 마치고 정산 검사를 이어 가는 단계다. 확인값이 다시 흔들리면 청구 확정을 늦추고 현장 검침을 요청한다.	TRUNCATED_FRAGMENT	절단된 조사·어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:111	도시열공급 민원대응 — 추 대기	추 대기	process|state|attribute|comparison	도시열공급 민원대응 — 추 대기는 민원 건수 추세를 판정할 추가 집계를 기다리는 상태다. 보류 이유와 집계 구간을 적고 다음 검사 순서와 담당자를 조정한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:121	도시열공급 비상운전 — 추 대기	추 대기	process|state|attribute|comparison	도시열공급 비상운전 — 추 대기는 비상 출력을 첫 측정 하나만으로 확정하지 않고 추가 관찰을 기다리는 상태다. 운전 이력을 분리 보관해 비교 기준이 갖춰질 때 다시 판단한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:125	도시열공급 비상운전 — 처리에서 조정	처리에서 조정	process|state|boundary|contrast	도시열공급 비상운전 — 처리에서 조정의 처리에서는 비상 출력을 조정한 뒤 도시열공급 비상운전 확인 단계로 넘긴다. 추가 이상이 남으면 관찰 상태를 유지한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:13	도시열공급 배관압력 — 가리 상태	가리 상태	process|state|comparison|attribute	도시열공급 배관압력 — 가리 상태는 현재 압력과 구간별 참조치를 함께 놓고 적합성을 가리는 단계다. 남은 차이는 누수·펌프·센서 원인으로 나눠 별도 검사한다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:145	도시열공급 열손실분석 — 가 상태	가 상태	process|state|boundary|contrast	도시열공급 열손실분석 — 가 상태는 손실률 보정 뒤 분석 확인 절차를 이어 가는 단계다. 자료 불일치가 있으면 해당 구간에 대기 표지를 남기고 현장 검사를 요청한다.	TRUNCATED_FRAGMENT	절단된 조사·어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:15	도시열공급 배관압력 — 바로잡 상태	바로잡 상태	process|state|boundary|contrast	도시열공급 배관압력 — 바로잡 상태의 처리에서는 주배관 압력을 바로잡은 후 도시열공급 배관압력 검사를 다시 시행한다. 남은 경보는 다음 처리의 시작을 막는다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:17	도시열공급 열교환기 — 또 상태	또 상태	process|state|boundary|function	도시열공급 열교환기 — 또 상태는 온도차 변화로 세척 또는 우회 운전 중 하나를 선택하는 단계다. 경보 시점과 가용 열원 잔량을 근거로 대응 범위를 정한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:2	도시열공급 열원가동 — 읽기 상태	읽기 상태	process|state|boundary|function	도시열공급 열원가동 — 읽기 상태는 공급수 온도에서 비정상 읽기가 나와 열원 전환을 검토하는 단계다. 대체 보일러와 축열조의 준비를 점검하고 현 운전 유지 여부를 정한다.	MEASUREMENT_TERM_REVIEW	읽기보다 측정값·관측값 등 도메인상 자연스러운 용어가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:28	도시열공급 열수송관 — 읽기 복귀	읽기 복귀	process|state|comparison|attribute	도시열공급 열수송관 — 읽기 복귀의 수송유량 읽기는 도시열공급 열수송관 설정 구간과 맞춰 확인한다. 허용선을 넘으면 재측정 순서로 되돌린다.	MEASUREMENT_TERM_REVIEW	읽기보다 측정값·관측값 등 도메인상 자연스러운 용어가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:37	도시열공급 아파트열사용 — 고르 조정	고르 조정	process|state|boundary|function	도시열공급 아파트열사용 — 고르 조정은 사용량 변동에 맞춰 공급량과 밸브 설정을 다시 고르는 단계다. 축열 여유와 배관 부담을 확인해 조정 폭을 기록한다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:73	도시열공급 누수감시 — 가리 판정	가리 판정	process|state|comparison|attribute	도시열공급 누수감시 — 가리 판정은 구간 압력 저하가 실제 누수에서 비롯됐는지를 가리는 판정이다. 의심 지점의 센서 건전성과 현장 흔적을 함께 확인한 뒤 경보 범위와 출동 구간을 확정한다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:82	도시열공급 연료저장 — 또 상태	또 상태	process|state|boundary|function	도시열공급 연료저장 — 또 상태는 잔량 변화에 따라 보급 또는 열원 제한의 다음 단계를 결정하는 상태다. 예비 연료와 운송 수단을 확인해 실행과 보류를 가른다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v67.source.jsonl:98	도시열공급 관로공사 — 읽기 통과	읽기 통과	process|state|comparison|attribute	도시열공급 관로공사 — 읽기 통과는 현재 공사 구간 읽기가 안전 제한을 통과하는지 점검하는 상태다. 탈락 항목은 도면과 현장 좌표별 목록으로 옮겨 재조사한다.	MEASUREMENT_TERM_REVIEW	읽기보다 측정값·관측값 등 도메인상 자연스러운 용어가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v68.source.jsonl:117	해양부표 위성송신 — 읽기 상태	읽기 상태	process|state|boundary|function	해양부표 위성송신 — 읽기 상태는 송신률에서 비정상 읽기가 나와 링크 전환을 검토하는 단계다. 대체 위성과 안테나 상태를 점검한 뒤 현재 경로 유지 여부를 정한다.	MEASUREMENT_TERM_REVIEW	읽기보다 측정값·관측값 등 도메인상 자연스러운 용어가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v68.source.jsonl:149	해양부표 부표재배치 — 처리에서 조정	처리에서 조정	process|state|contrast|role	해양부표 부표재배치 — 처리에서 조정의 처리에서는 재배치 좌표 회복을 근거로 해양부표 부표재배치 정상화를 검토한다. 기록의 시간 순서를 맞춘 뒤 변경 우선순위를 정한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v68.source.jsonl:40	해양부표 조류속도 — 에서 안정	에서 안정	process|state|boundary|contrast	해양부표 조류속도 — 에서 안정에서는 유속계 교정 뒤 첫 관측값의 안정성을 확인한다. 진동이 다시 커지면 해당 값을 보류하고 인접 부표와 다른 수심의 유속 자료를 보강한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v68.source.jsonl:63	해양부표 용존산소 — 읽기 통과	읽기 통과	process|state|comparison|attribute	해양부표 용존산소 — 읽기 통과는 산소 읽기가 생태 한계를 통과하는지 점검하는 상태다. 탈락 자료는 수심별로 묶어 채수분석 및 온도보정과 비교한다.	MEASUREMENT_TERM_REVIEW	읽기보다 측정값·관측값 등 도메인상 자연스러운 용어가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v68.source.jsonl:72	해양부표 해저지형 — 고르 판정	고르 판정	process|state|boundary|function	해양부표 해저지형 — 고르 판정은 고도 변화에 대응해 현재 측량과 우회항로 중 하나를 고르는 단계다. 대체 음향기의 성능을 확인해 작업방향을 확정한다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v68.source.jsonl:76	해양부표 선박식별 — 추 대기	추 대기	process|state|attribute|comparison	해양부표 선박식별 — 추 대기는 식별값 판정에 필요한 추가 메시지를 기다리는 상태다. 보류 원인과 수신구간을 남기고 검사 차례와 관제 담당을 정한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v68.source.jsonl:87	해양부표 위치추적 — 고르 상태	고르 상태	process|state|boundary|function	해양부표 위치추적 — 고르 상태는 좌표 이상에 대응할 산정경로를 고르는 단계다. 위성측위와 계류 추정의 정확도 및 전력을 비교해 전환 여부를 정한다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v69.source.jsonl:11	수술실감염통제 수술동의 — 않 상태	않 상태	process|state|attribute|comparison	수술실감염통제 수술동의 — 않 상태는 서명 자료가 완전하지 않아 수술 승인을 닫지 않은 상태다. 빠진 설명과 서명자를 특정하고 환자 확인 차례를 기록한다.	NEGATION_FRAGMENT	부정 어미가 아니라 판정·상태의 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v69.source.jsonl:15	수술실감염통제 수술동의 — 바로잡 이동	바로잡 이동	process|state|boundary|contrast	수술실감염통제 수술동의 — 바로잡 이동은 동의서 서명을 바로잡은 뒤 최종 점검을 계속하는 단계다. 남은 경보나 설명 누락이 있으면 수술실 이동을 보류한다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v69.source.jsonl:20	수술실감염통제 금식확인 — 바로잡 상태	바로잡 상태	process|state|boundary|contrast	수술실감염통제 금식확인 — 바로잡 상태는 시작시각을 바로잡은 뒤 섭취기록과 다시 맞추는 단계다. 새 편차가 나오면 마취 준비를 멈추고 금식시간을 재산정한다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v69.source.jsonl:28	수술실감염통제 감염선별 — 읽기 통과	읽기 통과	process|state|comparison|attribute	수술실감염통제 감염선별 — 읽기 통과의 감염 선별값 읽기는 감염선별 제한값을 통과하는지 점검한다. 탈락한 항목은 별도 목록으로 옮긴다.	MEASUREMENT_TERM_REVIEW	읽기보다 측정값·관측값 등 도메인상 자연스러운 용어가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v69.source.jsonl:31	수술실감염통제 수술전검사 — 에서 상태	에서 상태	process|state|attribute|comparison	수술실감염통제 수술전검사 — 에서 상태에서는 검사 수치와 환자 소견의 일치 여부를 판독한다. 불일치 항목에는 보류 표식을 붙이고 해당 진료과 확인이 끝난 뒤 수술 준비 상태를 갱신한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v69.source.jsonl:37	수술실감염통제 마취평가 — 고르 판정	고르 판정	process|state|boundary|function	수술실감염통제 마취평가 — 고르 판정은 마취 위험도 변화 때문에 계획 유지와 대체 방법 중 하나를 고르는 단계다. 약제와 장비의 준비 상태를 확인해 결론을 정한다.	VERB_STEM_COMPOSITE	동사 어간 결합 대신 상태·판정의 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v69.source.jsonl:41	수술실감염통제 수술전실 — 추 조정	추 조정	process|state|attribute|comparison	수술실감염통제 수술전실 — 추 조정의 수술전실 압력 처리에는 수술전실의 추가 읽기가 필요하다. 보류 사유를 적고 다음 검사 순서를 조정한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v69.source.jsonl:51	수술실감염통제 멸균확인 — 추 대기	추 대기	process|state|attribute|comparison	수술실감염통제 멸균확인 — 추 대기는 지시값 하나만으로 멸균 합격을 확정하지 않고 추가 검증을 기다리는 상태다. 로트 이력을 보존하고 생물학적 지표 결과와 비교한다.	TRUNCATED_FRAGMENT	절단된 어근이 아니라 완결된 개념명인지 검토	Y
stage2_(14)state_transition_high_density_train_v69.source.jsonl:53	수술실감염통제 멸균확인 — 처리에서 상태	처리에서 상태	process|state|comparison|attribute	수술실감염통제 멸균확인 — 처리에서 상태의 처리에서는 멸균 지시값을 멸균확인의 허용선과 맞춰 본다. 차이가 확인되면 해당 읽기를 격리해 다시 검증한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
stage2_(14)state_transition_high_density_train_v69.source.jsonl:54	수술실감염통제 멸균확인 — 처리에서 복귀	처리에서 복귀	process|state|contrast|role	수술실감염통제 멸균확인 — 처리에서 복귀의 처리에서는 멸균 지시값 회복 뒤 멸균확인를 정상 흐름으로 돌릴지 살핀다. 변화 이력을 비교해 보정 항목을 갱신한다.	CONNECTIVE_FRAGMENT	조사·연결어가 아니라 상태명으로 읽히는 자연스러운 명사구인지 검토	Y
